id;cusotmer_id;customer_name;subscription_id;subscription_name;product_id;product_name;month;year;status;error;total
1;payment optimize;Universal hard drive;Investment Account compress Concrete;Saint Helena Pound mobile Tasty;Dynamic bypassing hacking;reboot Officer Oklahoma;29992;3787;ON_GOING;compelling Credit Card Account;39640
2;withdrawal override;Fish;Bedfordshire Fresh;Analyst;zero defect bypass;compressing SMTP Salad;96135;59789;ON_GOING;ubiquitous Lebanese Pound Factors;65297
3;multi-byte synergies;approach;Orchard Intelligent Steel Salad;Borders;Sleek Soft Mouse Small Global;Home Loan Account panel;18980;1914;DONE;hack infrastructure;9621
4;override deposit;Legacy Money Market Account Fantastic Soft Towels;redefine Cook Islands facilitate;compressing Illinois e-tailers;back up;driver Senegal;44404;61864;DONE;open system Refined Fresh Fish Investment Account;60163
5;Auto Loan Account;Table Legacy user-centric;unleash Steel;communities;overriding 5th generation;world-class Home Loan Account 24 hour;46910;8328;FAILED;leading edge Home Loan Account;83755
6;XML alarm;program Buckinghamshire JBOD;invoice;productize Rand Hat;Agent;Cape Verde Escudo;38770;883;NONE;stable Gorgeous Granite Bacon monitor;44590
7;protocol;South Dakota Indiana;bi-directional;Papua New Guinea port input;silver Unbranded Plastic Pants;compressing;62353;30124;FAILED;networks human-resource Cotton;85799
8;PNG Mississippi;internet solution Savings Account Incredible;1080p;Technician proactive;Small Granite Ball;Liechtenstein Practical;90337;52823;DONE;database;14072
9;Buckinghamshire Forks Generic Frozen Salad;relationships customized;connecting Plastic Web;monetize eyeballs Identity;reboot architecture Frozen;alarm Mali rich;64373;75580;NONE;Chair Switchable 1080p;56087
10;functionalities technologies Soft;Mauritius Rupee Rustic Metal Sausages;Serbia;action-items Assimilated;bandwidth grey;Data Senior Zloty;10153;43412;ON_GOING;Assurance;47843
